2023/10/12	 4017362a-31d6-4b6e-8ef1-ac45cdc55f3d 	 /newPage.html	GET 
2023/10/12	 dead4b55-de84-40bd-8b79-3a1fed502db1 	 /css/style.css	GET 
2023/10/12	 a9746dd5-eba0-44b8-8312-311713af6efb 	 /img/img1.jpg	GET 
2023/10/12	 53cfc100-42d3-485a-bc32-abe287b6762c 	 /newPage.html	GET 
2023/10/12	 3db940f3-b03a-413a-a1ce-424011e730a9 	 /css/style.css	GET 
2023/10/12	 fdc80ee2-9e40-4b76-b31f-2639214f5084 	 /img/img1.jpg	GET 
2023/10/12	 cc91268d-bf6c-4e1e-8e01-02d81ef30818 	 /newP	GET 
2023/10/12	 80d6ba33-b4ff-479a-a5dd-8efe31307978 	 /css/style.css	GET 
2023/10/12	 9acfb725-b394-4b44-be49-48dc4a30d755 	 /newP	GET 
2023/10/12	 bacdd740-991e-492a-a9c1-5622e005b000 	 /css/style.css	GET 
2023/10/12	 10a4c779-f538-4fcc-913c-a3e000540b66 	 /newP	GET 
2023/10/12	 9721eceb-3ae9-4323-8af1-7789c898fad7 	 /newP	GET 
2023/10/12	 7cddcb25-b96c-4453-b750-226ac2be9806 	 /newP	GET 
2023/10/12	 3f355ec1-7166-4c92-a4b7-cf4b135cade2 	 /css/style.css	GET 
2023/10/12	 3c7f5c73-5091-4385-9c56-87a5e84eda43 	 /newP	GET 
2023/10/12	 49592242-bc78-4f9a-8ac5-1655035fba10 	 /css/style.css	GET 
